gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,date
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1630577,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,25:07,2,13,0.154,2,11,0.182,3,4,0.75,2,6,8,1,1,0,0,2,9,-6.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,203084,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,21:00,1,7,0.143,1,6,0.167,2,2,1.0,0,3,3,0,0,0,0,2,5,-15.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1628436,Luke,Kornet,L. Kornet,luke-kornet,C,,,27:17,3,3,1.0,0,0,0.0,3,4,0.75,1,4,5,3,0,0,1,2,9,10.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1628368,De'Aaron,Fox,D. Fox,deaaron-fox,G,,,32:21,10,19,0.526,2,9,0.222,2,3,0.667,2,5,7,4,1,0,3,2,24,7.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1642264,Stephon,Castle,S. Castle,stephon-castle,G,,,33:26,6,17,0.353,1,3,0.333,6,7,0.857,1,7,8,8,2,0,3,4,19,11.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1642844,Dylan,Harper,D. Harper,dylan-harper,,,,29:07,9,15,0.6,1,3,0.333,3,3,1.0,1,1,2,1,2,1,1,0,22,4.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,,,,20:00,4,6,0.667,1,3,0.333,1,2,0.5,3,2,5,3,1,1,2,2,10,4.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1629640,Keldon,Johnson,K. Johnson,keldon-johnson,,,,26:21,6,9,0.667,3,3,1.0,1,2,0.5,1,5,6,1,1,0,2,2,16,19.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1642868,Carter,Bryant,C. Bryant,carter-bryant,,,,11:00,1,5,0.2,0,4,0.0,0,0,0.0,1,1,2,1,0,0,0,1,2,-5.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1630322,Lindy,Waters III,L. Waters III,lindy-waters-iii,,,,14:20,2,4,0.5,2,4,0.5,1,1,1.0,0,3,3,1,0,0,0,0,7,21.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,202687,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1629162,Jordan,McLaughlin,J. McLaughlin,jordan-mclaughlin,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500476,2026-01-02
0022500476,1610612759,San Antonio,Spurs,SAS,spurs,1631110,Jeremy,Sochan,J. Sochan,jeremy-sochan,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022500476,2026-01-02
0022500476,1610612754,Indiana,Pacers,IND,pacers,1630174,Aaron,Nesmith,A. Nesmith,aaron-nesmith,F,,,29:05,3,6,0.5,1,2,0.5,2,2,1.0,0,3,3,3,0,1,3,6,9,2.0,0022500476,2026-01-02
0022500476,1610612754,Indiana,Pacers,IND,pacers,1627783,Pascal,Siakam,P. Siakam,pascal-siakam,F,,,35:52,10,18,0.556,0,2,0.0,3,3,1.0,0,9,9,5,2,0,2,3,23,-3.0,0022500476,2026-01-02
0022500476,1610612754,Indiana,Pacers,IND,pacers,1630695,Micah,Potter,M. Potter,micah-potter,C,,,27:49,5,10,0.5,4,8,0.5,2,2,1.0,0,6,6,1,1,1,3,3,16,4.0,0022500476,2026-01-02
0022500476,1610612754,Indiana,Pacers,IND,pacers,1631097,Bennedict,Mathurin,B. Mathurin,bennedict-mathurin,G,,,19:46,1,6,0.167,0,1,0.0,0,0,0.0,0,5,5,3,0,0,1,5,2,-12.0,0022500476,2026-01-02
