date,home,away,market,bet,ev,price,result,stake,payout
2025-09-23T23:00:00Z,New York Rangers,Boston Bruins,moneyline,home_ml,0.0169,-155.0,,100.0,
2025-09-23T23:00:00Z,New York Rangers,Boston Bruins,totals,under,0.3792,-105.0,,100.0,
2025-09-23T23:00:00Z,New York Rangers,Boston Bruins,puckline,home_pl_-1.5,0.009,155.0,,100.0,
2025-09-23T23:00:00Z,Detroit Red Wings,Chicago Blackhawks,moneyline,home_ml,0.7952,135.0,,100.0,
2025-09-23T23:00:00Z,Detroit Red Wings,Chicago Blackhawks,totals,under,0.2641,-130.0,,100.0,
2025-09-23T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,moneyline,away_ml,0.1712,220.0,,100.0,
2025-09-23T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,totals,under,0.2603,-105.0,,100.0,
2025-09-23T23:00:00Z,Buffalo Sabres,Columbus Blue Jackets,puckline,home_pl_-1.5,0.0658,-105.0,,100.0,
2025-09-23T23:00:00Z,New Jersey Devils,New York Islanders,moneyline,away_ml,1.058,290.0,,100.0,
2025-09-23T23:00:00Z,New Jersey Devils,New York Islanders,totals,under,0.2427,-145.0,,100.0,
2025-09-23T23:00:00Z,New Jersey Devils,New York Islanders,puckline,away_pl_+1.5,0.6635,115.0,,100.0,
2025-09-23T23:00:00Z,Toronto Maple Leafs,Ottawa Senators,moneyline,away_ml,0.0326,220.0,,100.0,
2025-09-23T23:00:00Z,Toronto Maple Leafs,Ottawa Senators,totals,under,0.2325,-110.0,,100.0,
2025-09-23T23:00:00Z,Montréal Canadiens,Philadelphia Flyers,moneyline,home_ml,0.0845,-185.0,,100.0,
2025-09-23T23:00:00Z,Montréal Canadiens,Philadelphia Flyers,totals,under,0.6265,115.0,,100.0,
2025-09-23T23:00:00Z,Montréal Canadiens,Philadelphia Flyers,puckline,home_pl_-1.5,0.1035,140.0,,100.0,
2025-09-24T00:00:00Z,Dallas Stars,Minnesota Wild,moneyline,away_ml,0.1758,290.0,,100.0,
2025-09-24T00:00:00Z,Dallas Stars,Minnesota Wild,totals,under,0.1722,-105.0,,100.0,
2025-09-24T00:00:00Z,Winnipeg Jets,Edmonton Oilers,moneyline,home_ml,0.1407,-110.0,,100.0,
2025-09-24T00:00:00Z,Nashville Predators,Tampa Bay Lightning,moneyline,away_ml,0.8074,240.0,,100.0,
2025-09-24T00:00:00Z,Nashville Predators,Tampa Bay Lightning,totals,under,0.3046,-140.0,,100.0,
2025-09-24T00:00:00Z,Nashville Predators,Tampa Bay Lightning,puckline,away_pl_+1.5,0.4436,100.0,,100.0,
2025-09-24T01:00:00Z,Calgary Flames,Seattle Kraken,moneyline,home_ml,0.3621,-130.0,,100.0,
2025-09-24T01:00:00Z,Calgary Flames,Seattle Kraken,puckline,home_pl_-1.5,0.6509,165.0,,100.0,
2025-09-24T22:00:00Z,Carolina Hurricanes,Florida Panthers,moneyline,away_ml,0.9061,250.0,,100.0,
2025-09-24T22:00:00Z,Carolina Hurricanes,Florida Panthers,totals,under,0.0935,-105.0,Push,100.0,0.0
2025-09-24T22:00:00Z,Carolina Hurricanes,Florida Panthers,puckline,away_pl_+1.5,0.7302,105.0,away_+1.5,100.0,0.0
2025-09-24T23:00:00Z,Columbus Blue Jackets,Pittsburgh Penguins,moneyline,away_ml,0.1539,220.0,,100.0,
2025-09-24T23:00:00Z,Columbus Blue Jackets,Pittsburgh Penguins,totals,under,0.2665,-105.0,Under,100.0,0.0
2025-09-24T23:00:00Z,Columbus Blue Jackets,Pittsburgh Penguins,puckline,away_pl_+1.5,0.0636,-110.0,home_-1.5,100.0,0.0
2025-09-25T01:00:00Z,Edmonton Oilers,Seattle Kraken,totals,under,0.4068,-115.0,Under,100.0,0.0
2025-09-25T01:00:00Z,Edmonton Oilers,Seattle Kraken,puckline,home_pl_-1.5,0.1533,-115.0,away_+1.5,100.0,0.0
2025-09-25T02:00:00Z,Vancouver Canucks,Calgary Flames,moneyline,away_ml,0.3414,164.0,,100.0,
2025-09-25T02:00:00Z,Vancouver Canucks,Calgary Flames,totals,under,0.0892,102.0,Under,100.0,0.0
2025-09-25T02:00:00Z,Vancouver Canucks,Calgary Flames,puckline,away_pl_+1.5,0.3135,-148.0,home_-1.5,100.0,0.0
2025-09-25T02:00:00Z,Anaheim Ducks,Los Angeles Kings,moneyline,away_ml,0.1121,-140.0,,100.0,
2025-09-25T02:00:00Z,Anaheim Ducks,Los Angeles Kings,totals,under,0.1027,-105.0,Under,100.0,0.0
2025-09-27T02:00:00Z,San Jose Sharks,Vegas Golden Knights,moneyline,home_ml,0.757,156.0,,100.0,
2025-09-27T02:00:00Z,San Jose Sharks,Vegas Golden Knights,totals,under,0.2311,112.0,Under,100.0,0.0
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,moneyline,away_ml,0.4667,172.0,,100.0,
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,totals,over,0.233,-104.0,Push,100.0,0.0
2025-10-04T16:30:00Z,Philadelphia Flyers,New Jersey Devils,puckline,away_pl_+1.5,0.1456,-188.0,away_+1.5,100.0,0.0
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,moneyline,home_ml,0.5263,-105.0,,100.0,
2025-10-04T18:00:00Z,Boston Bruins,New York Rangers,totals,over,0.1824,-115.0,Push,100.0,0.0
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,moneyline,away_ml,0.5866,146.0,,100.0,
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,totals,under,0.0366,-105.0,Push,100.0,0.0
2025-10-04T20:00:00Z,Los Angeles Kings,Anaheim Ducks,puckline,away_pl_+1.5,0.3314,-178.0,away_+1.5,100.0,0.0
2025-10-04T20:00:00Z,Nashville Predators,Carolina Hurricanes,totals,over,0.0899,-128.0,Push,100.0,0.0
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,moneyline,away_ml,0.3152,210.0,,100.0,
2025-10-04T22:00:00Z,Dallas Stars,Colorado Avalanche,puckline,away_pl_+1.5,0.2586,-115.0,away_+1.5,100.0,0.0
2025-10-04T23:00:00Z,Washington Capitals,Columbus Blue Jackets,totals,over,0.0779,-140.0,Push,100.0,0.0
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,moneyline,home_ml,0.1645,-137.0,,100.0,
2025-10-04T23:00:00Z,Montréal Canadiens,Ottawa Senators,puckline,home_pl_-1.5,0.1641,172.0,away_+1.5,100.0,0.0
2025-10-04T23:00:00Z,Chicago Blackhawks,St. Louis Blues,totals,over,0.0344,-134.0,Push,100.0,0.0
2025-10-04T23:00:00Z,Florida Panthers,Tampa Bay Lightning,moneyline,home_ml,0.0544,-160.0,,100.0,
